id,conversation_id,role,content,feedback,timestamp
1,1,user,Hii,,2026-04-05 13:29:40.327562
2,1,bot,I don't have information about that in the college database. Please contact the Admin Office or the relevant department for assistance. You can also visit the college website or reach out to Student Services.,,2026-04-05 13:29:40.841482
3,2,user,Hlo,,2026-04-05 13:29:47.454611
4,2,bot,I don't have information about that in the college database. Please contact the Admin Office or the relevant department for assistance. You can also visit the college website or reach out to Student Services.,,2026-04-05 13:29:47.865181
5,3,user,hello,,2026-04-05 13:29:54.14756
6,3,bot,I don't have information about that in the college database. Please contact the Admin Office or the relevant department for assistance. You can also visit the college website or reach out to Student Services.,,2026-04-05 13:29:54.574477
7,4,user,Hii,,2026-04-05 13:44:20.126335
8,4,bot,I don't have information about that in the college database. Please contact the Admin Office or the relevant department for assistance. You can also visit the college website or reach out to Student Services.,,2026-04-05 13:44:20.499412
9,5,user,Hii,,2026-04-05 14:26:59.043712
10,5,bot,I don't have information about that in the college database. Please contact the Admin Office or the relevant department for assistance. You can also visit the college website or reach out to Student Services.,,2026-04-05 14:26:59.46206
11,6,user,Hii,,2026-04-05 14:38:10.710357
12,6,bot,I don't have information about that in the college database. Please contact the Admin Office or the relevant department for assistance. You can also visit the college website or reach out to Student Services.,,2026-04-05 14:38:11.066177
13,7,user,Hello,,2026-04-05 14:43:49.025273
14,7,bot,I don't have information about that in the college database. Please contact the Admin Office or the relevant department for assistance. You can also visit the college website or reach out to Student Services.,,2026-04-05 14:43:49.395025
15,8,user,Hii,,2026-04-05 14:43:53.179825
16,8,bot,I don't have information about that in the college database. Please contact the Admin Office or the relevant department for assistance. You can also visit the college website or reach out to Student Services.,,2026-04-05 14:43:53.551038
17,9,user,Hello,,2026-04-05 15:41:43.733221
18,9,bot,"Hello! I can help with REC Bijnor information like departments, fees, placements, clubs, and scholarships. What would you like to know?",,2026-04-05 15:41:43.89309
19,10,user,Who are you?,,2026-04-05 15:41:52.790846
20,11,user,tell me,,2026-04-05 15:42:07.856898
21,12,user,Who are you?,,2026-04-05 16:07:16.719799
22,13,user,Hii,,2026-04-05 16:07:28.411544
